participant,device_platform,apk_version,destination_selection,sample_live_understood,time_tradeoff_understood,unknown_data_understood,handoff_preview,notes
P01,,,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,
P02,,,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,
P03,,,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,
P04,,,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,
P05,,,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,
P06,,,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,
P07,,,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,
P08,,,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,
P09,,,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,
P10,,,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,
