name,kind,latitude,longitude,hours,hoursNote,sourceUrl,hoursSourceUrl,sourceUpdatedAt,sourceCheckedAt
BP,fuel,13.0556846,77.6065451,06:00-22:00,,https://www.openstreetmap.org/way/1286715554,,2024-05-26T04:29:16Z,2026-09-15T13:10:45Z
Essar Uni Gas,fuel,13.042173,77.5921122,,,https://www.openstreetmap.org/way/777618524,,2025-06-14T16:45:37Z,2026-09-15T13:10:45Z
GAIL Gas,fuel,13.040566,77.6186125,,,https://www.openstreetmap.org/way/1284773488,,2026-01-21T14:25:49Z,2026-09-15T13:10:45Z
Indian Oil,fuel,13.0414443,77.6205262,,,https://www.openstreetmap.org/way/772934851,,2024-06-29T15:40:03Z,2026-09-15T13:10:45Z
Indian Oil,fuel,13.0417951,77.6137657,,,https://www.openstreetmap.org/way/1273000979,,2026-02-01T17:57:18Z,2026-09-15T13:10:45Z
Indian Oil,fuel,13.0581868,77.593874,,,https://www.openstreetmap.org/way/1279046877,,2024-07-22T17:19:17Z,2026-09-15T13:10:45Z
Care Health,hospital,13.0552027,77.6028234,,,https://www.openstreetmap.org/node/5520252375,,2020-06-01T09:04:41Z,2026-09-15T13:10:45Z
Icon Hospital,hospital,13.0528211,77.6041042,,,https://www.openstreetmap.org/node/7577248224,,2024-07-08T12:17:32Z,2026-09-15T13:10:45Z
Manipal Hospital,hospital,13.050953,77.5938654,24/7,Official facility hours: 24 hours. Individual departments and appointments vary.,https://www.openstreetmap.org/way/160906231,https://www.manipalhospitals.com/hebbal/contact-us/,2024-05-23T02:08:47Z,2026-09-15T13:10:45Z
Manipal Hospital OPD,hospital,13.0624568,77.592227,,,https://www.openstreetmap.org/node/11949327621,,2024-06-01T04:43:10Z,2026-09-15T13:10:45Z
Motherhood Children's Hospital,hospital,13.0620051,77.5930638,24/7,,https://www.openstreetmap.org/node/12117952601,,2024-08-18T04:48:55Z,2026-09-15T13:10:45Z
Agastya Speciality Clinic,medical,13.0555615,77.6044933,,,https://www.openstreetmap.org/node/7577248216,,2020-06-01T09:04:41Z,2026-09-15T13:10:45Z
Aster Pharmacy,medical,13.054318,77.6019187,"PH,Mo-Su 08:00-22:30",,https://www.openstreetmap.org/node/11331384652,,2024-05-28T12:30:59Z,2026-09-15T13:10:45Z
Astha Diagnostic Centre,medical,13.0589421,77.5926431,,,https://www.geoapify.com/places-api/,,,2026-09-15T13:22:32.222Z
Ayushmitra clinic,medical,13.0554795,77.6023622,,,https://www.openstreetmap.org/node/5520250461,,2018-04-01T12:19:46Z,2026-09-15T13:10:45Z
Brothers Chemist,medical,13.0514678,77.6041664,,,https://www.openstreetmap.org/node/10009663799,,2022-09-08T17:55:08Z,2026-09-15T13:10:45Z
Dr Lal Path Labs,medical,13.0593942,77.5926274,,,https://www.geoapify.com/places-api/,,,2026-09-15T13:22:32.222Z
Dr. Archana's ENT Care Centre,medical,13.0555334,77.6044008,,,https://www.openstreetmap.org/node/7577248207,,2020-06-01T09:04:41Z,2026-09-15T13:10:45Z
Dr. Uma Homeo Clinic,medical,13.0544322,77.6038273,,,https://www.openstreetmap.org/node/7577248204,,2020-06-01T09:04:41Z,2026-09-15T13:10:45Z
Hebbal Medical Center,medical,13.0562451,77.6012716,"Mo-Sa 10:00-13:00,18:00-21:00; Su 10:00-12:00",,https://www.openstreetmap.org/node/5520247374,,2024-07-04T14:22:20Z,2026-09-15T13:10:45Z
KMC Multispeciality Clinic,medical,13.040826,77.6189605,,,https://www.openstreetmap.org/node/7577248211,,2024-07-18T17:45:45Z,2026-09-15T13:10:45Z
Krishna Clinic,medical,13.0558683,77.6001085,,,https://www.openstreetmap.org/node/5520248633,,2019-02-01T19:41:26Z,2026-09-15T13:10:45Z
