source_id,name,latitude,longitude,distance_from_aeos_m,intersection_type,control_type,osm_node_ids,source_review_needed,verified,snapshot_base,source_url,license
gw-cf3c1a6a4695,Amrutahalli Main Road × Bellary Road,13.067288,77.593191,506,junction,unknown,11449172425;11449172444;11449172454;11449172456;11449172458,False,False,2026-09-05T07:43:36Z,https://www.thetraffic.in/data/intersections.v1.json,ODbL-1.0
gw-5b1f51b97dcb,Bellary Road signal,13.057496,77.593537,596,midblock_or_single_road,unknown,11449185276,False,False,2026-09-05T07:43:36Z,https://www.thetraffic.in/data/intersections.v1.json,ODbL-1.0
gw-c44181176e1a,Unnamed signal,13.057301,77.593175,622,pedestrian_crossing,unknown,11449185279;11449185283,False,False,2026-09-05T07:43:36Z,https://www.thetraffic.in/data/intersections.v1.json,ODbL-1.0
gw-40a8bb75661e,Bellary Road signal,13.073231,77.592545,1169,midblock_or_single_road,unknown,11449172415;11449172416,False,False,2026-09-05T07:43:36Z,https://www.thetraffic.in/data/intersections.v1.json,ODbL-1.0
gw-d57a7a6fb26a,Arkavathy Layout Main Road signal,13.073443,77.592985,1187,midblock_or_single_road,unknown,574367083,False,False,2026-09-05T07:43:36Z,https://www.thetraffic.in/data/intersections.v1.json,ODbL-1.0
gw-71e90c7bc393,Hebbal Service Road towards Bengaluru signal,13.073826,77.592851,1230,junction,unknown,11212228043;11449187227,False,False,2026-09-05T07:43:36Z,https://www.thetraffic.in/data/intersections.v1.json,ODbL-1.0
gw-1bf8b0dffdf4,Bellary Road signal,13.049649,77.592803,1472,midblock_or_single_road,unknown,10784133389;10784133390,False,False,2026-09-05T07:43:36Z,https://www.thetraffic.in/data/intersections.v1.json,ODbL-1.0
gw-5c0f4bafb9d4,Jakkur Road × Arkavathy Layout Main Road,13.072608,77.604027,1530,junction,unknown,13043346080;13043346081;13043346082;13043346083,False,False,2026-09-05T07:43:36Z,https://www.thetraffic.in/data/intersections.v1.json,ODbL-1.0
gw-87b409e91576,Yelahanka Road signal,13.081811,77.593199,2113,midblock_or_single_road,unknown,278163345;332955178;11449187234,False,False,2026-09-05T07:43:36Z,https://www.thetraffic.in/data/intersections.v1.json,ODbL-1.0
gw-0f0c10f49c99,Yelahanka Road Flyover signal,13.082271,77.593133,2165,midblock_or_single_road,unknown,278163350,False,False,2026-09-05T07:43:36Z,https://www.thetraffic.in/data/intersections.v1.json,ODbL-1.0
